anchor_left (0),anchor_right (100),clue,target,response_list,response_mean,difference,category,,,,,
Cold,Hot,Room temperature,52,"50, 50, 50, 50, 45",49,3,Objective,,,,,
Cold,Hot,Warm bath,63,"64, 72, 70, 68, 72",69.2,6.2,Objective,,,,,
Cold,Hot,Light jacket weather,40,"42, 40, 42, 42, 38",40.8,0.8,Objective,,,,,
Cold,Hot,Fresh coffee,92,"80, 74, 82, 78, 78",78.4,13.6,Objective,,,,,
Cold,Hot,Sauna,78,"85, 83, 85, 92, 92",87.4,9.4,Objective,,,,,
Cold,Hot,Summer afternoon,73,"67, 71, 71, 75, 76",72,1,Objective,,,,,
Cold,Hot,Warm soup,67,"65, 70, 68, 72, 72",69.4,2.4,Objective,,,,,
Cold,Hot,Heated blanket,67,"73, 76, 79, 70, 74",74.4,7.4,Objective,,,,,
Cold,Hot,Snowy sidewalk,22,"34, 38, 21, 12, 12",23.4,1.4,Objective,,,,,
Cold,Hot,Ice pack,37,"26, 29, 20, 5, 8",17.6,19.4,Objective,,,,,
Cold,Hot,Spring day,49,"61, 51, 59, 55, 55",56.2,7.2,Objective,,,,,
Cold,Hot,Boiling water,88,"83, 92, 92, 97, 97",92.2,4.2,Objective,,,,,
Cold,Hot,Fresh baked bread,67,"77, 78, 82, 73, 80",78,11,Objective,,,,,
Cold,Hot,Sun warmed rock,62,"72, 67, 77, 68, 70",70.8,8.8,Objective,,,,,
Cold,Hot,Frozen pizza,18,"29, 39, 24, 8, 10",22,4,Objective,,,,,
Cold,Hot,Refrigerator air,25,"33, 48, 34, 15, 15",29,4,Objective,,,,,
Cold,Hot,Coffee left out,65,"44, 52, 41, 40, 42",43.8,21.2,Objective,,,,,
Cold,Hot,Cold soda can,24,"38, 37, 29, 7, 12",24.6,0.6,Objective,,,,,
Cold,Hot,Icy swimming pool,37,"29, 35, 19, 6, 8",19.4,17.6,Objective,,,,,
Cold,Hot,Glacier,10,"11, 2, 9, 3, 3",5.6,4.4,Objective,,,,,
Cold,Hot,Liquid nitrogen,4,"6, 0, 1, 1, 1",1.8,2.2,Objective,,,,,
Cold,Hot,Absolute zero,0,"0, 0, 0, 0, 0",0,0,Objective,,,,,
Cold,Hot,Warm hoodie,67,"73, 70, 63, 65, 65",67.2,0.2,Objective,,,,,
Cold,Hot,Hot shower,84,"77, 81, 78, 85, 85",81.2,2.8,Objective,,,,,
Cold,Hot,Antarctica,7,"9, 0, 7, 2, 2",4,3,Objective,,,,,
Cold,Hot,The sun,100,"99, 100, 100, 99, 99",99.4,0.6,Objective,,,,,
Cold,Hot,Arctic winter,8,"5, 1, 7, 3, 3",3.8,4.2,Objective,,,,,
Cold,Hot,Freezer burn,30,"4, 8, 11, 6, 6",7,23,Objective,,,,,
Cold,Hot,Ice cube,19,"13, 11, 9, 4, 5",8.4,10.6,Objective,,,,,
Cold,Hot,Lava,88,"91, 99, 95, 98, 98",96.2,8.2,Objective,,,,,
Cold,Hot,Deep space,4,"11, 4, 4, 1, 2",4.4,0.4,Objective,,,,,
Cold,Hot,Ice bath,36,"18, 16, 19, 4, 5",12.4,23.6,Objective,,,,,
Cold,Hot,Fresh pizza,83,"70, 77, 79, 82, 82",78,5,Objective,,,,,
Cold,Hot,Molten metal,93,"94, 99, 91, 97, 97",95.6,2.6,Objective,,,,,
Cold,Hot,Warm tea,66,"72, 60, 74, 65, 70",68.2,2.2,Objective,,,,,
Cold,Hot,Slushy drink,24,"24, 30, 26, 18, 14",22.4,1.6,Objective,,,,,
Cold,Hot,Mild autumn day,48,"45, 43, 41, 48, 48",45,3,Objective,,,,,
Cold,Hot,Freezer air,28,"28, 24, 17, 5, 7",16.2,11.8,Objective,,,,,
Cold,Hot,Cool basement,48,"32, 38, 38, 35, 28",34.2,13.8,Objective,,,,,
Cold,Hot,Warm sand,62,"68, 61, 67, 70, 72",67.6,5.6,Objective,,,,,
Cold,Hot,Campfire,88,"78, 80, 78, 82, 88",81.2,6.8,Objective,,,,,
Cold,Hot,Ice cream,28,"23, 29, 30, 10, 8",20,8,Objective,,,,,
Cold,Hot,Frozen lake,18,"18, 19, 17, 4, 4",12.4,5.6,Objective,,,,,
Cold,Hot,Pluto,4,"9, 0, 5, 1, 1",3.2,0.8,Objective,,,,,
Cold,Hot,Warm room,55,"73, 55, 71, 60, 62",64.2,9.2,Objective,,,,,
Cold,Hot,Preheating oven,87,"77, 61, 75, 88, 82",76.6,10.4,Objective,,,,,
Cold,Hot,Heated car seat,58,"73, 63, 76, 72, 75",71.8,13.8,Objective,,,,,
Cold,Hot,Volcano,95,"91, 99, 93, 97, 96",95.2,0.2,Objective,,,,,
Cold,Hot,Popsicle,28,"19, 27, 20, 8, 7",16.2,11.8,Objective,,,,,
Cold,Hot,Steaming ramen,77,"73, 79, 73, 88, 88",80.2,3.2,Objective,,,,,
Dark,Light,Moonlight,72,"66, 62, 65, 25, 35",50.6,21.4,Objective,,,,,
Dark,Light,Gray cloud,13,"42, 32, 28, 35, 35",34.4,21.4,Objective,,,,,
Dark,Light,Candlelight,50,"74, 63, 71, 28, 30",53.2,3.2,Objective,,,,,
Dark,Light,Shadow,29,"3, 12, 1, 15, 15",9.2,19.8,Objective,,,,,
Dark,Light,Dim hallway,53,"29, 20, 29, 25, 25",25.6,27.4,Objective,,,,,
Dark,Light,Overcast sky,56,"40, 31, 23, 40, 40",34.8,21.2,Objective,,,,,
Dark,Light,Black coffee,52,"11, 22, 7, 12, 12",12.8,39.2,Objective,,,,,
Dark,Light,Flashlight beam,66,"94, 90, 89, 80, 75",85.6,19.6,Objective,,,,,
Dark,Light,Night sky,34,"22, 32, 12, 10, 10",17.2,16.8,Objective,,,,,
Dark,Light,Bright office,64,"68, 66, 71, 85, 88",75.6,11.6,Objective,,,,,
Dark,Light,Daylight window,84,"72, 61, 73, 82, 85",74.6,9.4,Objective,,,,,
Dark,Light,Bright lamp,82,"77, 74, 84, 88, 88",82.2,0.2,Objective,,,,,
Dark,Light,Streetlight,17,"73, 68, 80, 70, 60",70.2,53.2,Objective,,,,,
Dark,Light,Lit hallway,78,"68, 65, 76, 72, 72",70.6,7.4,Objective,,,,,
Dark,Light,Pitch black,1,"0, 1, 0, 2, 1",0.8,0.2,Objective,,,,,
Dark,Light,Ink,5,"7, 4, 4, 3, 5",4.6,0.4,Objective,,,,,
Dark,Light,Storm clouds,46,"23, 38, 20, 18, 18",23.4,22.6,Objective,,,,,
Dark,Light,Spotlight,91,"80, 88, 82, 90, 90",86,5,Objective,,,,,
Dark,Light,Dim room,31,"34, 40, 38, 22, 22",31.2,0.2,Objective,,,,,
Dark,Light,Computer screen,28,"73, 66, 60, 55, 64, 72, 68",65.43,37.43,Objective,,,,,
Dark,Light,Direct sunlight,100,"97, 92, 83, 95, 97",92.8,7.2,Objective,,,,,
Dark,Light,Candlelit room,40,"56, 27, 63, 30, 28",40.8,0.8,Objective,,,,,
Dark,Light,Camera flash,92,"77, 89, 84, 93, 95",87.6,4.4,Objective,,,,,
Dark,Light,Early dawn,21,"65, 51, 38, 35, 40",45.8,24.8,Objective,,,,,
Dark,Light,Bright stars,77,"70, 91, 75, 20, 30",57.2,19.8,Objective,,,,,
Dark,Light,Noon sunlight,96,"79, 58, 81, 95, 97",82,14,Objective,,,,,
Dark,Light,Backlit screen,98,"72, 61, 78, 75, 72",71.6,26.4,Objective,,,,,
Dark,Light,Overcast noon,36,"70, 42, 59, 50, 55",55.2,19.2,Objective,,,,,
Dark,Light,Movie theater,20,"18, 33, 55, 8, 12",25.2,5.2,Objective,,,,,
Dark,Light,LED panel,80,"75, 90, 83, 92, 90",86,6,Objective,,,,,
Dark,Light,Reading lamp,41,"65, 59, 77, 72, 70",68.6,27.6,Objective,,,,,
Dark,Light,Well-lit room,67,"73, 63, 72, 82, 85",75,8,Objective,,,,,
Dark,Light,Shadowy alley,5,"11, 21, 17, 15, 15",15.8,10.8,Objective,,,,,
Dark,Light,Dim sunset,28,"35, 39, 37, 30, 32",34.6,6.6,Objective,,,,,
Dark,Light,Cavern,13,"17, 28, 11, 5, 5",13.2,0.2,Objective,,,,,
Dark,Light,Bedside lamp,57,"43, 42, 65, 55, 55",52,5,Objective,,,,,
Dark,Light,Night road,35,"29, 34, 9, 12, 12",19.2,15.8,Objective,,,,,
Dark,Light,Coal,10,"7, 13, 7, 5, 8",8,2,Objective,,,,,
Dark,Light,Soft lamp,45,"45, 49, 62, 50, 55",52.2,7.2,Objective,,,,,
Dark,Light,Campfire glow,77,"77, 59, 70, 35, 40",56.2,20.8,Objective,,,,,
Dark,Light,Fog,10,"18, 13, 14, 30, 30",21,11,Objective,,,,,
Dark,Light,Backyard at night,54,"23, 58, 21, 10, 15",25.4,28.6,Objective,,,,,
Dark,Light,Neon sign,76,"75, 71, 72, 78, 78",74.8,1.2,Objective,,,,,
Dark,Light,Glow stick,87,"74, 60, 71, 60, 60",65,22,Objective,,,,,
Dark,Light,Stadium lights,90,"83, 90, 92, 95, 95",91,1,Objective,,,,,
Dark,Light,Mariana's trench,8,"3, 2, 5, 2, 2",2.8,5.2,Objective,,,,,
Dark,Light,Dense fog,14,"10, 17, 8, 25, 25",17,3,Objective,,,,,
Dark,Light,Deep space,0,"0, 12, 3, 2, 3",4,4,Objective,,,,,
Dark,Light,Lava lamp,70,"75, 62, 73, 45, 58",62.6,7.4,Objective,,,,,
Dark,Light,Obsidian,12,"8, 9, 5, 4, 5",6.2,5.8,Objective,,,,,
Quiet place,Loud place,Arcade,61,"79, 77, 84, 82, 82",80.8,19.8,Objective,,,,,
Quiet place,Loud place,Garden,25,"12, 21, 14, 18, 12",15.4,9.6,Objective,,,,,
Quiet place,Loud place,Air horn,93,"97, 92, 95, 90, 97",94.2,1.2,Objective,,,,,
Quiet place,Loud place,Office,36,"52, 10, 35, 35, 35",33.4,2.6,Objective,,,,,
Quiet place,Loud place,Study hall,23,"21, 10, 13, 10, 8",12.4,10.6,Objective,,,,,
Quiet place,Loud place,Airport terminal,59,"71, 66, 87, 68, 68",72,13,Objective,,,,,
Quiet place,Loud place,Padded cell,3,"5, 4, 3, 3, 5",4,1,Objective,,,,,
Quiet place,Loud place,Car race,83,"84, 93, 93, 92, 95",91.4,8.4,Objective,,,,,
Quiet place,Loud place,Waiting room,26,"22, 20, 19, 20, 15",19.2,6.8,Objective,,,,,
Quiet place,Loud place,Reading room,14,"29, 8, 17, 5, 5",12.8,1.2,Objective,,,,,
Quiet place,Loud place,Explosion,96,"98, 100, 100, 98, 99",99,3,Objective,,,,,
Quiet place,Loud place,Rock concert,77,"90, 95, 95, 95, 97",94.4,17.4,Objective,,,,,
Quiet place,Loud place,Isolation chamber,0,"1, 1, 2, 2, 2",1.6,1.6,Objective,,,,,
Quiet place,Loud place,Rural field,18,"15, 7, 9, 12, 8",10.2,7.8,Objective,,,,,
Quiet place,Loud place,Gym,60,"77, 81, 82, 72, 70",76.4,16.4,Objective,,,,,
Quiet place,Loud place,Busy café,47,"63, 79, 79, 58, 65",68.8,21.8,Objective,,,,,
Quiet place,Loud place,Convention hall,55,"74, 86, 81, 75, 78",78.8,23.8,Objective,,,,,
Quiet place,Loud place,Suburban street,31,"43, 48, 53, 30, 30",40.8,9.8,Objective,,,,,
Quiet place,Loud place,Concert lobby,70,"73, 59, 79, 65, 65",68.2,1.8,Objective,,,,,
Quiet place,Loud place,Sushi omakase,24,"20, 23, 26, 15, 10",18.8,5.2,Objective,,,,,
Quiet place,Loud place,Beach,13,"23, 55, 31, 50, 50",41.8,28.8,Objective,,,,,
Quiet place,Loud place,Nightclub,76,"74, 89, 86, 95, 95",87.8,11.8,Objective,,,,,
Quiet place,Loud place,Basketball game,69,"79, 80, 82, 88, 88",83.4,14.4,Objective,,,,,
Quiet place,Loud place,Nightclub lobby,57,"68, 50, 76, 70, 75",67.8,10.8,Objective,,,,,
Quiet place,Loud place,Office hallway,51,"23, 12, 25, 28, 25",22.6,28.4,Objective,,,,,
Quiet place,Loud place,City park,45,"39, 63, 68, 35, 35",48,3,Objective,,,,,
Quiet place,Loud place,Empty museum,14,"17, 5, 20, 8, 5",11,3,Objective,,,,,
Quiet place,Loud place,Fireworks,89,"76, 90, 92, 95, 95",89.6,0.6,Objective,,,,,
Quiet place,Loud place,Sports bar,48,"78, 87, 90, 82, 85",84.4,36.4,Objective,,,,,
Quiet place,Loud place,Construction site,84,"63, 87, 87, 90, 92",83.8,0.2,Objective,,,,,
Quiet place,Loud place,Loud crowd,86,"72, 85, 83, 90, 95",85,1,Objective,,,,,
Quiet place,Loud place,Mall,39,"63, 63, 67, 65, 65",64.6,25.6,Objective,,,,,
Quiet place,Loud place,Jackhammer,86,"82, 89, 87, 95, 97",90,4,Objective,,,,,
Quiet place,Loud place,Loud party,71,"75, 88, 80, 88, 92",84.6,13.6,Objective,,,,,
Quiet place,Loud place,Quiet café,31,"12, 13, 21, 25, 15",17.2,13.8,Objective,,,,,
Quiet place,Loud place,Yoga studio,20,"20, 39, 35, 10, 8",22.4,2.4,Objective,,,,,
Quiet place,Loud place,Street market,47,"70, 68, 71, 72, 75",71.2,24.2,Objective,,,,,
Quiet place,Loud place,Airport gate,42,"66, 66, 84, 60, 55",66.2,24.2,Objective,,,,,
Quiet place,Loud place,Dance club,82,"81, 87, 82, 93, 95",87.6,5.6,Objective,,,,,
Quiet place,Loud place,Street festival,66,"79, 78, 85, 80, 85",81.4,15.4,Objective,,,,,
Quiet place,Loud place,Library,10,"21, 9, 19, 5, 3",11.4,1.4,Objective,,,,,
Quiet place,Loud place,Fighter jet,92,"90, 97, 93, 98, 99",95.4,3.4,Objective,,,,,
Quiet place,Loud place,Subway platform,63,"85, 89, 83, 75, 72",80.8,17.8,Objective,,,,,
Quiet place,Loud place,Train station,53,"70, 83, 85, 68, 65",74.2,21.2,Objective,,,,,
Quiet place,Loud place,Soundproof room,0,"4, 0, 2, 1, 1",1.6,1.6,Objective,,,,,
Quiet place,Loud place,Crowded bar,56,"82, 87, 91, 85, 88",86.6,30.6,Objective,,,,,
Quiet place,Loud place,Thunderclap,98,"67, 70, 92, 95, 98",84.4,13.6,Objective,,,,,
Quiet place,Loud place,Cathedral,10,"34, 40, 14, 15, 15",23.6,13.6,Objective,,,,,
Quiet place,Loud place,Restaurant,41,"66, 50, 71, 55, 55",59.4,18.4,Objective,,,,,
Quiet place,Loud place,Bedroom,16,"32, 20, 25, 12, 10",19.8,3.8,Objective,,,,,
Colorless,Colorful,Butterfly garden,77,"87, 95, 86, 92, 92",90.4,13.4,Objective,,,,,
Colorless,Colorful,Bollywood film,73,"79, 83, 90, 85, 90",85.4,12.4,Objective,,,,,
Colorless,Colorful,Crayon box,82,"90, 90, 95, 95, 95",93,11,Objective,,,,,
Colorless,Colorful,Grayscale photo,6,"5, 7, 4, 3, 5",4.8,1.2,Objective,,,,,
Colorless,Colorful,Abstract painting,71,"86, 86, 8-, 85, 80",84.25,13.25,Objective,,,,,
Colorless,Colorful,Pencil sketch,14,"27, 10, 13, 8, 8",13.2,0.8,Objective,,,,,
